timestamp,turbine_id,wind_speed_mps,wind_direction_deg,air_density_kg_m3,temperature_c,vibration_level_mm_s,rotor_rpm,power_output_kw,downtime_flag,hour,dayofweek,month,wind_power_density,is_high_vibration,has_outlier
2024-01-01 16:10:00,1,27.878652067861783,309.69118310389354,0.9576595166189384,-3.990363875480644,1.5134173901748809,23.942861217764747,64.43992774502851,0,16,0,1,10375.199313826994,0,0
2024-01-01 17:00:00,1,18.95966041188567,61.87453291412886,1.118648008583445,31.723851622797312,0.5140941605767589,18.4403490737946,35.15040421308923,0,17,0,1,3812.019568219996,0,0
2024-01-01 22:10:00,1,5.5611833724753446,35.30082548248473,1.08203143589833,27.01402690005065,3.1891324101224416,7.344871261513319,0.0,0,22,0,1,93.04896129244466,0,0
2024-01-01 23:10:00,1,16.73782335452102,300.015944795399,0.965762611942855,27.78631109391629,1.3177765365561636,19.32341832745803,13.480862803331387,0,23,0,1,2264.3175523515,0,0
2024-01-02 06:50:00,1,29.017907625790965,114.12034910434942,1.039830703507493,25.9764616297906,1.1248765762891006,0.028808519864687,11.331437949377118,1,6,1,1,12703.72028649328,0,0
2024-01-02 13:10:00,1,11.37382975126941,240.93255332867335,1.2845468365982415,36.35975072375861,5.176963617479895,3.906780220606581,58.022741468404746,0,13,1,1,945.0180811961088,0,0
2024-01-02 20:00:00,1,26.44846919633993,141.09882832383747,1.296720795686066,15.749953887066471,6.069868376954844,20.835017238734743,13.334001661992843,0,20,1,1,11995.49301382731,1,0
2024-01-02 22:40:00,1,15.047270997538453,119.91136728185172,1.102165029673771,-6.422838535711319,2.7860080913814738,17.276689079556043,122.27839180315507,0,22,1,1,1877.542858316792,0,0
2024-01-03 21:00:00,1,11.29590863367895,168.20688398718136,1.1089210308398572,-4.476374385301164,0.3877793185217415,17.653609179746336,54.44593243261596,0,21,2,1,799.1607342065253,0,0
2024-01-04 05:40:00,1,19.545470499866774,355.39720373921085,0.926121831847982,39.69465519482489,5.791027946433861,4.398678506833445,0.7387375013829178,0,5,3,1,3457.614049540844,0,0
2024-01-04 05:50:00,1,6.323443480640647,317.40282370327407,1.1671242114614129,5.583542660142069,1.3280773565488468,8.137522571403563,8.26544816180101,0,5,3,1,147.55298720677905,0,0
2024-01-04 07:10:00,1,12.933372152910149,8.812895692751983,1.1242628039412412,-8.417605058430087,3.510382082950956,12.03990433595694,0.0,0,7,3,1,1216.1108687495282,0,0
2024-01-04 14:00:00,1,13.463364119838444,290.30501492876675,1.1792349828650346,24.26153819181846,4.084659977895958,13.38359623100431,0.0,0,14,3,1,1438.9017253630054,0,0
2024-01-04 17:50:00,1,13.201741395281962,130.05589982615624,0.9729295670045752,37.15912071584109,4.9751481129387285,7.832192932972506,0.0,0,17,3,1,1119.2963040777713,0,0
2024-01-05 14:50:00,1,29.060238167230715,335.9610220748862,0.969719163574987,22.743612397229363,0.3243949986750243,7.356414146231652,63.068451548463536,0,14,4,1,11899.082905834512,0,0
2024-01-05 19:30:00,1,6.456134391995784,53.18867679766599,0.923962587978012,3.56879740012657,1.2519666510025689,23.57436799983809,0.0,0,19,4,1,124.32030800621393,0,0
2024-01-06 00:30:00,1,16.962599028232273,131.92449147114888,1.358610772571089,39.98295187661453,2.3178508986723725,3.142262839113497,66.84771346516911,0,0,5,1,3315.4481963200055,0,0
2024-01-06 08:40:00,1,1.5167756387861686,247.7639798408338,0.9662847016725672,43.09941927825426,4.27844165261648,11.152951981741632,0.0,1,8,5,1,1.685928461647016,0,0
2024-01-06 11:30:00,1,22.01716131005608,201.30691679274543,0.9371978428820924,-1.3743249366867225,6.3528019290100906,0.346826703631603,48.17409525606056,1,11,5,1,5001.327078404382,1,0
2024-01-06 15:10:00,1,1.3588393083923234,290.86764813387265,0.9819939859794352,17.95385833091078,1.4949618800494222,9.841996373282774,0.0,1,15,5,1,1.2319217906229787,0,0
2024-01-06 15:50:00,1,1.0481773921796531,101.34346347805518,1.1443430975630735,41.97174985348576,0.9344951687850034,24.030027205419508,31.838988031943835,1,15,5,1,0.6589168652346552,0,0
2024-01-06 18:10:00,1,13.393257653896464,238.9674211353606,0.9500216422150056,23.424677234408307,0.6361123683432681,0.2106864390531287,0.7858005397545273,1,18,5,1,1141.2010810017907,0,0
2024-01-07 07:10:00,1,29.832458026766204,316.8892780112029,1.157742454693646,27.305936171745024,3.816030537326855,12.255202223590077,141.5579970427987,0,7,6,1,15369.122719905834,0,0
2024-01-07 11:00:00,1,9.547861241571775,151.15333384161767,1.195201862826953,17.11415068001175,6.972527498778936,7.8818014177472415,0.0,1,11,6,1,520.1511489376674,1,0
2024-01-08 06:50:00,1,18.492845321156103,275.51967513643586,1.0126444459312722,-7.583442639464302,0.2517909055955069,6.853599851879821,17.651705855318784,0,6,0,1,3202.1244065457054,0,0
2024-01-08 10:40:00,1,3.494335490200112,168.24862379938023,1.3889880596764836,39.6997083207408,5.349735075640712,0.3268846596485852,0.0,1,10,0,1,29.632092052358004,0,0
2024-01-08 14:30:00,1,5.855914937156475,125.13593320511434,1.3094274803815376,14.115758761718672,2.599851803880548,0.3776810408923359,0.0,1,14,0,1,131.4727460324661,0,0
2024-01-09 13:20:00,1,5.843204930616776,48.49766311310128,1.397126659543268,39.14151210759111,4.936940380163967,11.80370376271949,0.0,0,13,1,1,139.36673895536703,0,0
